pod,metric,similarity,causality,best_lag,volatility,root_score
recommendationservice-9c8dd7cd6-f6x7c,network_transmit_errors,0.0867,0.1623,5,0.0333,0.1025
shippingservice-3f4d5e6f78-hj2kx,cpu_usage,0.0846,0.1532,4,0.0472,0.1011
shippingservice-3f4d5e6f78-hj2kx,network_transmit_errors,0.0807,0.1515,5,0.0417,0.0977
emailservice-5c4564f4db-c9pjv,memory_working_set,0.0837,0.1415,5,0.05,0.0972
emailservice-5c4564f4db-c9pjv,cpu_throttle_ratio,0.081,0.1488,5,0.0417,0.0969
currencyservice-7c5c4ccd64-8zv72,network_transmit_errors,0.0808,0.1417,5,0.0528,0.0965
paymentservice-858d7c66fd-pwd9m,network_transmit_errors,0.0804,0.1369,1,0.0444,0.093
paymentservice-858d7c66fd-pwd9m,cpu_usage,0.0809,0.1329,5,0.0472,0.0924
productcatalogservice-59867cb94d-gjfzt,network_transmit_errors,0.0859,0.1344,5,0.0333,0.0923
emailservice-5c4564f4db-c9pjv,cpu_usage,0.0824,0.1352,5,0.0278,0.09
productcatalogservice-59867cb94d-gjfzt,cpu_usage,0.0746,0.1366,4,0.0417,0.0897
productcatalogservice-59867cb94d-gjfzt,memory_usage,0.0766,0.1302,5,0.0417,0.0883
emailservice-5c4564f4db-c9pjv,network_transmit_errors,0.0766,0.1315,4,0.0333,0.0871
shippingservice-3f4d5e6f78-hj2kx,memory_usage,0.0795,0.1177,5,0.0417,0.0853
recommendationservice-9c8dd7cd6-f6x7c,network_receive_errors,0.0719,0.1284,5,0.0361,0.0845
paymentservice-858d7c66fd-pwd9m,network_receive_errors,0.0713,0.1242,5,0.0417,0.0839
productcatalogservice-59867cb94d-gjfzt,cpu_throttle_ratio,0.0762,0.1126,5,0.05,0.0837
shippingservice-3f4d5e6f78-hj2kx,network_receive_errors,0.0734,0.1121,5,0.0528,0.0828
productcatalogservice-59867cb94d-gjfzt,network_receive_errors,0.0702,0.1255,5,0.0333,0.0822
recommendationservice-9c8dd7cd6-f6x7c,memory_working_set,0.072,0.1233,5,0.0278,0.0811
currencyservice-7c5c4ccd64-8zv72,cpu_throttle_ratio,0.0743,0.1081,5,0.0333,0.0779
adservice-7c8b9f944-b7rfw,memory_usage,0.0733,0.1077,5,0.0333,0.0774
paymentservice-858d7c66fd-pwd9m,memory_working_set,0.067,0.1152,5,0.025,0.0755
currencyservice-7c5c4ccd64-8zv72,memory_working_set,0.0735,0.0975,5,0.0389,0.075
emailservice-5c4564f4db-c9pjv,network_receive_errors,0.0696,0.1061,5,0.0306,0.0746
adservice-7c8b9f944-b7rfw,network_transmit_errors,0.062,0.0929,5,0.0417,0.0687
adservice-7c8b9f944-b7rfw,memory_working_set,0.0624,0.0863,5,0.05,0.0683
currencyservice-7c5c4ccd64-8zv72,cpu_usage,0.0683,0.0802,3,0.0444,0.0677
recommendationservice-9c8dd7cd6-f6x7c,memory_usage,0.0677,0.0812,4,0.0417,0.0672
