pod,metric,similarity,causality,best_lag,volatility,root_score
checkoutservice-5fcbc94d48-c8mxz,memory_working_set,0.2611,0.5497,1,0.0639,0.3227
checkoutservice-5fcbc94d48-c8mxz,network_transmit_errors,0.2632,0.5488,1,0.0556,0.3216
checkoutservice-5fcbc94d48-c8mxz,network_receive_errors,0.2597,0.5526,1,0.0556,0.3214
checkoutservice-5fcbc94d48-c8mxz,cpu_usage,0.2617,0.5447,1,0.0639,0.3212
checkoutservice-5fcbc94d48-c8mxz,cpu_throttle_ratio,0.2604,0.5462,1,0.0583,0.32
redis-cart-6f887989c8-s4r67,cpu_usage,0.1095,0.2087,4,0.0556,0.1334
shippingservice-3f4d5e6f78-hj2kx,network_receive_errors,0.1047,0.2072,5,0.0361,0.1268
shippingservice-3f4d5e6f78-hj2kx,memory_working_set,0.0984,0.1945,5,0.0417,0.1207
currencyservice-7c5c4ccd64-8zv72,cpu_throttle_ratio,0.1022,0.1881,4,0.0389,0.1196
adservice-7c8b9f944-b7rfw,memory_usage,0.0951,0.1835,5,0.0444,0.1159
emailservice-5c4564f4db-c9pjv,memory_usage,0.0965,0.1812,5,0.0306,0.1129
adservice-7c8b9f944-b7rfw,memory_working_set,0.0943,0.1649,5,0.0528,0.1107
adservice-7c8b9f944-b7rfw,cpu_usage,0.0923,0.1725,5,0.0417,0.1102
adservice-7c8b9f944-b7rfw,cpu_throttle_ratio,0.0961,0.171,5,0.0333,0.1098
cartservice-77f8cfdff-4gflb,network_transmit_errors,0.0969,0.168,2,0.0333,0.1091
cartservice-77f8cfdff-4gflb,cpu_throttle_ratio,0.0949,0.1659,5,0.0417,0.1091
cartservice-77f8cfdff-4gflb,memory_working_set,0.0957,0.1652,5,0.0361,0.1081
paymentservice-858d7c66fd-pwd9m,network_receive_errors,0.0908,0.1642,5,0.0472,0.1078
paymentservice-858d7c66fd-pwd9m,memory_usage,0.0892,0.1648,5,0.0444,0.1067
emailservice-5c4564f4db-c9pjv,memory_working_set,0.0872,0.1648,5,0.0472,0.1063
shippingservice-3f4d5e6f78-hj2kx,memory_usage,0.0907,0.1592,5,0.0444,0.1054
cartservice-77f8cfdff-4gflb,cpu_usage,0.0843,0.1559,5,0.0361,0.0997
paymentservice-858d7c66fd-pwd9m,memory_working_set,0.0861,0.1512,5,0.0333,0.0984
paymentservice-858d7c66fd-pwd9m,network_transmit_errors,0.085,0.1525,5,0.0333,0.0983
adservice-7c8b9f944-b7rfw,network_receive_errors,0.0852,0.1537,5,0.0306,0.0982
currencyservice-7c5c4ccd64-8zv72,memory_working_set,0.0825,0.1502,5,0.0389,0.0974
shippingservice-3f4d5e6f78-hj2kx,cpu_throttle_ratio,0.0847,0.1427,5,0.0417,0.0964
cartservice-77f8cfdff-4gflb,memory_usage,0.0858,0.1418,5,0.0306,0.0943
shippingservice-3f4d5e6f78-hj2kx,network_transmit_errors,0.0842,0.1352,5,0.0389,0.093
emailservice-5c4564f4db-c9pjv,cpu_throttle_ratio,0.0831,0.1293,5,0.0389,0.0904
currencyservice-7c5c4ccd64-8zv72,network_receive_errors,0.0786,0.1377,5,0.0333,0.0902
currencyservice-7c5c4ccd64-8zv72,cpu_usage,0.0743,0.1362,5,0.0361,0.0883
redis-cart-6f887989c8-s4r67,memory_usage,0.0787,0.1252,5,0.0444,0.0881
cartservice-77f8cfdff-4gflb,network_receive_errors,0.0735,0.1311,5,0.0389,0.0867
currencyservice-7c5c4ccd64-8zv72,network_transmit_errors,0.0823,0.1233,5,0.0306,0.0863
redis-cart-6f887989c8-s4r67,network_receive_errors,0.0801,0.1194,5,0.0417,0.0862
emailservice-5c4564f4db-c9pjv,network_receive_errors,0.0754,0.125,5,0.0417,0.086
paymentservice-858d7c66fd-pwd9m,cpu_usage,0.079,0.1083,2,0.0472,0.0829
currencyservice-7c5c4ccd64-8zv72,memory_usage,0.0779,0.1214,3,0.0222,0.082
emailservice-5c4564f4db-c9pjv,cpu_usage,0.0705,0.1106,5,0.0417,0.0788
redis-cart-6f887989c8-s4r67,memory_rss,0.0676,0.1109,5,0.0472,0.0787
emailservice-5c4564f4db-c9pjv,network_transmit_errors,0.0716,0.0951,3,0.0556,0.0766
shippingservice-3f4d5e6f78-hj2kx,cpu_usage,0.068,0.0937,5,0.0472,0.0729
redis-cart-6f887989c8-s4r67,network_transmit_errors,0.0639,0.0838,5,0.0361,0.0653
adservice-7c8b9f944-b7rfw,network_transmit_errors,0.065,0.0695,5,0.0417,0.0619
paymentservice-858d7c66fd-pwd9m,cpu_throttle_ratio,0.064,0.0651,4,0.0444,0.0605
