pod,metric,similarity,causality,best_lag,volatility,root_score
shippingservice-995d6f9c8-428x6,memory_usage,0.064,0.0868,4,0.0,0.0592
cartservice-77f8cfdff-4gflb,fs_read_bytes,0.0639,0.0224,5,0.082,0.053
currencyservice-7c5c4ccd64-8zv72,memory_rss,0.0645,0.023,3,0.0328,0.0436
checkoutservice-5fcbc94d48-c8mxz,restart_count,0.048,0.0,0,0.0,0.0216
checkoutservice-5fcbc94d48-c8mxz,thread_count,0.048,0.0,0,0.0,0.0216
checkoutservice-5fcbc94d48-c8mxz,pod_memory_request,0.048,0.0,0,0.0,0.0216
checkoutservice-5fcbc94d48-c8mxz,pod_memory_limit,0.048,0.0,0,0.0,0.0216
checkoutservice-5fcbc94d48-c8mxz,pod_cpu_request,0.048,0.0,0,0.0,0.0216
checkoutservice-5fcbc94d48-c8mxz,process_count,0.048,0.0,0,0.0,0.0216
checkoutservice-5fcbc94d48-c8mxz,oom_events,0.048,0.0,0,0.0,0.0216
checkoutservice-5fcbc94d48-c8mxz,memory_cache,0.048,0.0,0,0.0,0.0216
checkoutservice-5fcbc94d48-c8mxz,cpu_throttle_ratio,0.048,0.0,0,0.0,0.0216
checkoutservice-5fcbc94d48-c8mxz,fs_read_bytes,0.048,0.0,0,0.0,0.0216
checkoutservice-5fcbc94d48-c8mxz,fs_write_bytes,0.048,0.0,0,0.0,0.0216
cartservice-77f8cfdff-4gflb,pod_memory_limit,0.048,0.0,0,0.0,0.0216
cartservice-77f8cfdff-4gflb,pod_memory_request,0.048,0.0,0,0.0,0.0216
checkoutservice-5fcbc94d48-c8mxz,pod_cpu_limit,0.048,0.0,0,0.0,0.0216
cartservice-77f8cfdff-4gflb,restart_count,0.048,0.0,0,0.0,0.0216
cartservice-77f8cfdff-4gflb,pod_cpu_limit,0.048,0.0,0,0.0,0.0216
cartservice-77f8cfdff-4gflb,pod_cpu_request,0.048,0.0,0,0.0,0.0216
cartservice-77f8cfdff-4gflb,oom_events,0.048,0.0,0,0.0,0.0216
cartservice-77f8cfdff-4gflb,fs_write_bytes,0.048,0.0,0,0.0,0.0216
adservice-7c8b9f944-b7rfw,pod_memory_limit,0.048,0.0,0,0.0,0.0216
adservice-7c8b9f944-b7rfw,pod_memory_request,0.048,0.0,0,0.0,0.0216
adservice-7c8b9f944-b7rfw,fs_write_bytes,0.048,0.0,0,0.0,0.0216
adservice-7c8b9f944-b7rfw,fs_read_bytes,0.048,0.0,0,0.0,0.0216
adservice-7c8b9f944-b7rfw,memory_cache,0.048,0.0,0,0.0,0.0216
adservice-7c8b9f944-b7rfw,oom_events,0.048,0.0,0,0.0,0.0216
adservice-7c8b9f944-b7rfw,pod_cpu_request,0.048,0.0,0,0.0,0.0216
adservice-7c8b9f944-b7rfw,pod_cpu_limit,0.048,0.0,0,0.0,0.0216
adservice-7c8b9f944-b7rfw,process_count,0.048,0.0,0,0.0,0.0216
adservice-7c8b9f944-b7rfw,restart_count,0.048,0.0,0,0.0,0.0216
cartservice-77f8cfdff-4gflb,process_count,0.048,0.0,0,0.0,0.0216
currencyservice-7c5c4ccd64-8zv72,thread_count,0.048,0.0,0,0.0,0.0216
emailservice-5c4564f4db-c9pjv,thread_count,0.048,0.0,0,0.0,0.0216
emailservice-5c4564f4db-c9pjv,restart_count,0.048,0.0,0,0.0,0.0216
emailservice-5c4564f4db-c9pjv,process_count,0.048,0.0,0,0.0,0.0216
emailservice-5c4564f4db-c9pjv,pod_memory_request,0.048,0.0,0,0.0,0.0216
emailservice-5c4564f4db-c9pjv,pod_memory_limit,0.048,0.0,0,0.0,0.0216
emailservice-5c4564f4db-c9pjv,pod_cpu_request,0.048,0.0,0,0.0,0.0216
emailservice-5c4564f4db-c9pjv,pod_cpu_limit,0.048,0.0,0,0.0,0.0216
emailservice-5c4564f4db-c9pjv,oom_events,0.048,0.0,0,0.0,0.0216
emailservice-5c4564f4db-c9pjv,memory_cache,0.048,0.0,0,0.0,0.0216
frontend-fc6b4bb46-wwx7m,oom_events,0.048,0.0,0,0.0,0.0216
frontend-fc6b4bb46-wwx7m,pod_cpu_request,0.048,0.0,0,0.0,0.0216
frontend-fc6b4bb46-wwx7m,pod_cpu_limit,0.048,0.0,0,0.0,0.0216
frontend-fc6b4bb46-wwx7m,fs_write_bytes,0.048,0.0,0,0.0,0.0216
frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.048,0.0,0,0.0,0.0216
frontend-fc6b4bb46-wwx7m,cpu_throttle_ratio,0.048,0.0,0,0.0,0.0216
frontend-fc6b4bb46-wwx7m,memory_cache,0.048,0.0,0,0.0,0.0216
frontend-fc6b4bb46-wwx7m,thread_count,0.048,0.0,0,0.0,0.0216
frontend-fc6b4bb46-wwx7m,restart_count,0.048,0.0,0,0.0,0.0216
currencyservice-7c5c4ccd64-8zv72,process_count,0.048,0.0,0,0.0,0.0216
currencyservice-7c5c4ccd64-8zv72,restart_count,0.048,0.0,0,0.0,0.0216
emailservice-5c4564f4db-c9pjv,fs_write_bytes,0.048,0.0,0,0.0,0.0216
emailservice-5c4564f4db-c9pjv,fs_read_bytes,0.048,0.0,0,0.0,0.0216
emailservice-5c4564f4db-c9pjv,cpu_throttle_ratio,0.048,0.0,0,0.0,0.0216
currencyservice-7c5c4ccd64-8zv72,pod_memory_request,0.048,0.0,0,0.0,0.0216
currencyservice-7c5c4ccd64-8zv72,oom_events,0.048,0.0,0,0.0,0.0216
currencyservice-7c5c4ccd64-8zv72,pod_cpu_limit,0.048,0.0,0,0.0,0.0216
currencyservice-7c5c4ccd64-8zv72,pod_cpu_request,0.048,0.0,0,0.0,0.0216
currencyservice-7c5c4ccd64-8zv72,pod_memory_limit,0.048,0.0,0,0.0,0.0216
currencyservice-7c5c4ccd64-8zv72,fs_write_bytes,0.048,0.0,0,0.0,0.0216
currencyservice-7c5c4ccd64-8zv72,fs_read_bytes,0.048,0.0,0,0.0,0.0216
currencyservice-7c5c4ccd64-8zv72,cpu_throttle_ratio,0.048,0.0,0,0.0,0.0216
currencyservice-7c5c4ccd64-8zv72,memory_cache,0.048,0.0,0,0.0,0.0216
paymentservice-858d7c66fd-pwd9m,thread_count,0.048,0.0,0,0.0,0.0216
paymentservice-858d7c66fd-pwd9m,restart_count,0.048,0.0,0,0.0,0.0216
paymentservice-858d7c66fd-pwd9m,process_count,0.048,0.0,0,0.0,0.0216
paymentservice-858d7c66fd-pwd9m,pod_memory_request,0.048,0.0,0,0.0,0.0216
paymentservice-858d7c66fd-pwd9m,pod_memory_limit,0.048,0.0,0,0.0,0.0216
paymentservice-858d7c66fd-pwd9m,pod_cpu_request,0.048,0.0,0,0.0,0.0216
paymentservice-858d7c66fd-pwd9m,pod_cpu_limit,0.048,0.0,0,0.0,0.0216
paymentservice-858d7c66fd-pwd9m,oom_events,0.048,0.0,0,0.0,0.0216
paymentservice-858d7c66fd-pwd9m,memory_cache,0.048,0.0,0,0.0,0.0216
paymentservice-858d7c66fd-pwd9m,fs_write_bytes,0.048,0.0,0,0.0,0.0216
paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.048,0.0,0,0.0,0.0216
frontend-fc6b4bb46-wwx7m,pod_memory_limit,0.048,0.0,0,0.0,0.0216
frontend-fc6b4bb46-wwx7m,pod_memory_request,0.048,0.0,0,0.0,0.0216
frontend-fc6b4bb46-wwx7m,process_count,0.048,0.0,0,0.0,0.0216
productcatalogservice-59867cb94d-gjfzt,oom_events,0.048,0.0,0,0.0,0.0216
productcatalogservice-59867cb94d-gjfzt,pod_cpu_limit,0.048,0.0,0,0.0,0.0216
productcatalogservice-59867cb94d-gjfzt,thread_count,0.048,0.0,0,0.0,0.0216
productcatalogservice-59867cb94d-gjfzt,restart_count,0.048,0.0,0,0.0,0.0216
productcatalogservice-59867cb94d-gjfzt,process_count,0.048,0.0,0,0.0,0.0216
productcatalogservice-59867cb94d-gjfzt,pod_memory_request,0.048,0.0,0,0.0,0.0216
recommendationservice-9c8dd7cd6-f6x7c,fs_write_bytes,0.048,0.0,0,0.0,0.0216
recommendationservice-9c8dd7cd6-f6x7c,fs_read_bytes,0.048,0.0,0,0.0,0.0216
recommendationservice-9c8dd7cd6-f6x7c,cpu_throttle_ratio,0.048,0.0,0,0.0,0.0216
recommendationservice-9c8dd7cd6-f6x7c,memory_cache,0.048,0.0,0,0.0,0.0216
recommendationservice-9c8dd7cd6-f6x7c,oom_events,0.048,0.0,0,0.0,0.0216
recommendationservice-9c8dd7cd6-f6x7c,pod_cpu_limit,0.048,0.0,0,0.0,0.0216
productcatalogservice-59867cb94d-gjfzt,pod_cpu_request,0.048,0.0,0,0.0,0.0216
productcatalogservice-59867cb94d-gjfzt,pod_memory_limit,0.048,0.0,0,0.0,0.0216
productcatalogservice-59867cb94d-gjfzt,fs_write_bytes,0.048,0.0,0,0.0,0.0216
productcatalogservice-59867cb94d-gjfzt,fs_read_bytes,0.048,0.0,0,0.0,0.0216
productcatalogservice-59867cb94d-gjfzt,cpu_throttle_ratio,0.048,0.0,0,0.0,0.0216
productcatalogservice-59867cb94d-gjfzt,memory_cache,0.048,0.0,0,0.0,0.0216
recommendationservice-9c8dd7cd6-f6x7c,thread_count,0.048,0.0,0,0.0,0.0216
recommendationservice-9c8dd7cd6-f6x7c,restart_count,0.048,0.0,0,0.0,0.0216
recommendationservice-9c8dd7cd6-f6x7c,process_count,0.048,0.0,0,0.0,0.0216
recommendationservice-9c8dd7cd6-f6x7c,pod_memory_request,0.048,0.0,0,0.0,0.0216
recommendationservice-9c8dd7cd6-f6x7c,pod_memory_limit,0.048,0.0,0,0.0,0.0216
recommendationservice-9c8dd7cd6-f6x7c,pod_cpu_request,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,fs_write_bytes,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,cpu_throttle_ratio,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,oom_events,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,pod_cpu_limit,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,pod_cpu_request,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,pod_memory_limit,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,pod_memory_request,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,fs_read_bytes,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,memory_rss,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,memory_cache,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,thread_count,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,restart_count,0.048,0.0,0,0.0,0.0216
redis-cart-6f887989c8-s4r67,process_count,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,cpu_throttle_ratio,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,fs_write_bytes,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,fs_read_bytes,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,memory_rss,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,memory_cache,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,oom_events,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,pod_cpu_limit,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,pod_cpu_request,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,pod_memory_limit,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,pod_memory_request,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,process_count,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,restart_count,0.048,0.0,0,0.0,0.0216
shippingservice-995d6f9c8-428x6,thread_count,0.048,0.0,0,0.0,0.0216
